encuestadora,fecha,tamaño_muestra,pp,psoe,vox,sumar,erc,junts,eh_bildu,pnv,bng,cc,upn,podemos,SALF,AC,Lead
DYM/Henneo,2026-01-25,1003,34.4,27.0,16.6,5.0,NA,NA,NA,NA,NA,NA,NA,5.1,0.5,NA,7.4
EM-Analytics/Electomanía,2026-01-23,1594,32.1,26.0,19.9,5.6,1.9,1.3,1.4,1.1,1.1,0.4,0.2,4.2,1.7,NA,6.1
DYM/Henneo,2026-01-18,1000,33.7,27.1,16.9,5.2,NA,NA,NA,NA,NA,NA,NA,4.9,0.7,NA,6.6
EM-Analytics/Electomanía,2026-01-16,1001,32.6,26.5,19.4,5.2,1.9,1.5,1.4,1.1,1.0,0.4,0.2,4.1,1.6,NA,6.1
Target Point/El Debate,2026-01-15,1000,30.0,26.1,19.2,8.0,NA,NA,NA,NA,NA,NA,NA,3.2,1.8,NA,3.9
GESOP/Prensa Ibérica,2026-01-15,1002,30.0,26.5,17.8,8.3,2.2,1.0,NA,NA,NA,NA,NA,4.3,1.7,NA,3.5
SocioMétrica/El Español,2026-01-10,1300,32.5,25.7,17.9,6.5,2.1,1.3,1.5,0.9,1.1,0.5,0.2,3.8,2.1,NA,6.8
CIS (Logoslab),2026-01-10,4006,28.0,27.5,20.0,7.0,NA,NA,NA,NA,NA,NA,NA,3.2,2,NA,0.5
CIS,2026-01-10,4006,23,31.7,17.7,7.2,2.6,1,1.5,1,0.9,0.3,0.1,3.5,1.8,NA,8.7
EM-Analytics/Electomanía,2026-01-10,1083,32.3,26.9,19.7,5.0,1.9,1.5,1.4,1.1,1.0,0.4,0.2,4.0,1.5,NA,5.4
NC Report/La Razón,2026-01-09,1000,33.5,26.3,17.6,6.1,1.8,1.5,1.4,1.0,0.8,0.4,0.2,4.4,NA,NA,6.8
40dB/Prisa,2026-01-05,2000,31.5,27.1,17.9,5.9,NA,NA,NA,NA,NA,NA,NA,3.5,2.1,NA,4.4
EM-Analytics/Electomanía,2026-01-03,1316,32.2,26.8,19.8,4.7,1.9,1.5,1.4,1.1,1.0,0.4,0.2,4.5,1.5,NA,5.4
Sigma Dos/El Mundo,2025-12-29,2182,32.7,26.5,17.2,8.5,1.9,1.0,1.0,1.0,0.8,0.5,0.1,4.4,1.2,0.7,6.2
EM-Analytics/Electomanía,2025-12-26,2301,31.9,27.3,19.6,5.4,1.9,1.5,1.4,1.3,1.1,0.4,0.2,4.4,1.7,NA,4.6
EM-Analytics/Electomanía,2025-12-19,1782,31.8,28.3,19.3,5.7,1.9,1.5,1.4,1.3,1.1,0.4,0.2,4.2,1.7,NA,3.5
InvyMark/laSexta,2025-12-15,NA,33.5,27.4,18.6,5.2,1.8,1.3,1.5,1.1,NA,NA,NA,3.8,1.5,NA,6.1
EM-Analytics/Electomanía,2025-12-12,1522,31.9,28.6,19.2,5.8,1.9,1.5,1.4,1.3,1.1,0.4,0.2,4.0,1.7,NA,3.3
SocioMétrica/El Español,2025-12-07,1100,33.4,26.2,17.4,7.0,2.0,1.2,1.4,1.0,0.9,0.4,0.2,2.8,2.3,0.9,7.2
SocioMétrica/El Español,2025-12-07,1100,33.4,26.2,17.4,7.5,1.9,1.3,1.4,1.0,0.9,0.4,0.2,2.8,2.3,NA,7.2
CIS (Logoslab),2025-12-05,4017,28.0,28.0,18.8,7.2,NA,NA,NA,NA,NA,NA,NA,3.8,2.4,NA,NA
CIS,2025-12-05,4017,22.4,31.4,17.6,7.8,2.1,0.8,1.5,0.9,0.8,0.2,0.1,4.1,2.4,0.5,9
