"year","Cuestionables","Fraudulentas","Total"
1990,4,141,145
1991,4,138,142
1992,6,142,148
1993,8,138,146
1994,8,140,148
1995,6,142,148
1996,8,146,154
1997,8,147,155
1998,9,147,156
1999,9,146,155
2000,10,142,152
2001,10,144,154
2002,10,150,160
2003,9,153,162
2004,9,152,161
2005,9,155,164
2006,16,151,167
2007,21,144,165
2008,23,145,168
2009,25,142,167
2010,26,141,167
2011,27,141,168
2012,25,144,169
2013,27,141,168
2014,27,143,170
2015,26,145,171
2016,28,142,170
2017,29,141,170
2018,28,142,170
2019,28,142,170
2020,26,143,169
2021,22,147,169
2022,21,143,164
2023,17,146,163
2024,17,144,161
